Airbnb_ID,Title,Price,Location,Guests,Bedrooms,Bathrooms,URL
1495326036863538666,"Home Away From Home Near Rockwell",,"Where you’ll beMandaluyong, Metro Manila, Philippines",,,,https://www.airbnb.com/rooms/1495326036863538666
852013970145409100,"New Cozy Studio @ Novotel Suites Acqua Residences",,"Where you’ll beMandaluyong, Metro Manila, Philippines",,,,https://www.airbnb.com/rooms/852013970145409100
32910625,"Unknown Property",,"",,,,https://www.airbnb.com/rooms/32910625
1457604182685170074,"Montana-Modern & Spacious",,"Where you’ll beSan Fernando, Central Luzon, Philippines",,,,https://www.airbnb.com/rooms/1457604182685170074
1433949677956202137,"1-Studio Pool View & Cozy Place @ Azure North",,"Where you’ll beSan Fernando, Central Luzon, Philippines",,,,https://www.airbnb.com/rooms/1433949677956202137
1457633501740853467,"Urban Oasis in Azure North",,"Where you’ll beSan Fernando, Central Luzon, Philippines",,,,https://www.airbnb.com/rooms/1457633501740853467
1457580782301850955,"Tropical Zen-Modern Minimalist Spacious Unit",,"Where you’ll beSan Fernando, Central Luzon, Philippines",,,,https://www.airbnb.com/rooms/1457580782301850955
30554342,"Extraordinary Solace Space @ Livingstone+Netflix",,"Where you’ll beMandaluyong, Metro Manila, PhilippinesShow more",,,,https://www.airbnb.com/rooms/30554342
31931264,"Paris Beach - Paradise in the City @ Azure",,"Where you’ll beParañaque, Metro Manila, Philippines",,,,https://www.airbnb.com/rooms/31931264
32169814,"High Floor  2BR w/ Amazing View+Netflix",,"Where you’ll beMandaluyong, Metro Manila, PhilippinesMy place is easily accessible to Rockwell Power Plant Mall in Makati.Show more",,,,https://www.airbnb.com/rooms/32169814
